datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2018.01.01,00:00:00,23.59,Arnulf,148,19,167,3.5,8.4,0.1,75,2.1
2018.01.02,00:00:00,23.59,Arnulf,446,47,493,3,7.2,3.2,93,0.5
2018.01.03,00:00:00,23.59,Arnulf,416,38,454,2.9,14.5,16.9,95,0.2
2018.01.04,00:00:00,23.59,Arnulf,353,40,393,4.1,11.8,24.6,96,0
2018.01.05,00:00:00,23.59,Arnulf,545,59,604,6.9,12.9,2.7,95,3.4
2018.01.06,00:00:00,23.59,Arnulf,342,21,363,2.9,11.4,0,90,6.2
2018.01.07,00:00:00,23.59,Arnulf,233,21,254,0.5,6,0,98,0
2018.01.08,00:00:00,23.59,Arnulf,933,106,1039,3.4,6.5,0,99,0
2018.01.09,00:00:00,23.59,Arnulf,1028,98,1126,2.5,15.2,0,88,3.1
2018.01.10,00:00:00,23.59,Arnulf,1057,73,1130,0.9,8.9,0,88,6.6
2018.01.11,00:00:00,23.59,Arnulf,960,87,1047,0,3.7,0,100,0
2018.01.12,00:00:00,23.59,Arnulf,856,88,944,1.5,4.6,0,93,2
2018.01.13,00:00:00,23.59,Arnulf,367,25,392,0.2,3.1,0,99,0
2018.01.14,00:00:00,23.59,Arnulf,227,18,245,-1,0.9,0.4,99,0
2018.01.15,00:00:00,23.59,Arnulf,829,74,903,-2.5,7.1,0.6,81,4.1
2018.01.16,00:00:00,23.59,Arnulf,743,67,810,1.1,8.5,9.3,91,0.6
2018.01.17,00:00:00,23.59,Arnulf,586,68,654,-1.2,4,5.3,91,1.8
2018.01.18,00:00:00,23.59,Arnulf,542,41,583,0.4,9,10.5,91,3.4
2018.01.19,00:00:00,23.59,Arnulf,663,58,721,0.7,5.4,2.5,88,4.2
2018.01.20,00:00:00,23.59,Arnulf,216,22,238,0.3,4.1,11.9,96,1.2
2018.01.21,00:00:00,23.59,Arnulf,169,18,187,-1.9,1.8,5.7,93,1.2
2018.01.22,00:00:00,23.59,Arnulf,310,48,358,-1.1,6.7,12.7,98,0
2018.01.23,00:00:00,23.59,Arnulf,844,73,917,2.6,6.3,0.2,98,0
