,datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
0,2020.04.01,00:00,23.59,Arnulf,652,44,696,-3.4,9.7,0.0,0,12.5
1,2020.04.02,00:00,23.59,Arnulf,753,51,804,-1.5,13.7,0.0,0,12.5
2,2020.04.03,00:00,23.59,Arnulf,712,33,745,2.5,13.3,0.0,31,11.1
3,2020.04.04,00:00,23.59,Arnulf,480,16,496,3.2,15.2,0.0,28,11.4
4,2020.04.05,00:00,23.59,Arnulf,506,13,519,3.2,17.2,0.0,0,12.7
5,2020.04.06,00:00,23.59,Arnulf,896,53,949,3.0,21.4,0.0,0,12.7
6,2020.04.07,00:00,23.59,Arnulf,934,57,991,5.9,21.5,0.0,0,12.7
7,2020.04.08,00:00,23.59,Arnulf,1015,53,1068,5.6,22.3,0.0,3,12.7
8,2020.04.09,00:00,23.59,Arnulf,988,63,1051,8.0,21.5,0.0,13,10.5
9,2020.04.10,00:00,23.59,Arnulf,683,30,713,6.3,22.0,0.0,3,12.6
10,2020.04.11,00:00,23.59,Arnulf,824,22,846,7.9,21.0,0.0,25,11.8
11,2020.04.12,00:00,23.59,Arnulf,696,30,726,8.2,22.9,0.0,38,10.3
12,2020.04.13,00:00,23.59,Arnulf,550,17,567,4.4,21.8,0.0,75,9.5
13,2020.04.14,00:00,23.59,Arnulf,775,59,834,1.8,8.8,0.0,49,9.2
14,2020.04.15,00:00,23.59,Arnulf,967,64,1031,1.0,17.8,0.0,70,13.1
15,2020.04.16,00:00,23.59,Arnulf,1065,55,1120,3.5,22.3,0.0,55,13.0
16,2020.04.17,00:00,23.59,Arnulf,1112,52,1164,9.2,24.5,0.0,61,11.4
17,2020.04.18,00:00,23.59,Arnulf,898,28,926,10.5,25.2,2.4,85,8.9
18,2020.04.19,00:00,23.59,Arnulf,701,18,719,10.2,21.2,0.0,68,9.2
19,2020.04.20,00:00,23.59,Arnulf,965,54,1019,7.8,18.4,0.0,78,5.8
20,2020.04.21,00:00,23.59,Arnulf,1042,46,1088,7.7,19.4,0.0,58,12.6
21,2020.04.22,00:00,23.59,Arnulf,1143,50,1193,6.1,21.0,0.0,0,13.8
22,2020.04.23,00:00,23.59,Arnulf,1234,56,1290,5.6,21.2,0.0,0,13.7
23,2020.04.24,00:00,23.59,Arnulf,1093,49,1142,6.9,21.9,0.0,74,10.1
24,2020.04.25,00:00,23.59,Arnulf,927,25,952,9.7,20.0,0.0,31,13.2
25,2020.04.26,00:00,23.59,Arnulf,905,26,931,4.7,20.5,0.3,15,13.7
