"datum","uhrzeit_start","uhrzeit_ende","zaehlstelle","richtung_1","richtung_2","gesamt","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden"
"2020.09.01","00:00","23.59","Arnulf",985,68,1053,"11.9","16.8","1.4",100,"0.7"
"2020.09.02","00:00","23.59","Arnulf",1600,89,1689,"10.8","19.1",0,85,0
"2020.09.03","00:00","23.59","Arnulf",1813,109,1922,11,"21.9",0,70,"9.3"
"2020.09.04","00:00","23.59","Arnulf",1732,101,1833,"16.4","26.6",0,71,"9.8"
"2020.09.05","00:00","23.59","Arnulf",1296,86,1382,"15.6","27.7","7.4",68,"7.7"
"2020.09.06","00:00","23.59","Arnulf",624,35,659,"13.8","17.9","3.3",96,1
"2020.09.07","00:00","23.59","Arnulf",1518,107,1625,"11.3","18.4",0,86,"0.8"
"2020.09.08","00:00","23.59","Arnulf",1904,121,2025,"10.4","21.5",0,30,"8.1"
"2020.09.09","00:00","23.59","Arnulf",2091,130,2221,"10.1","25.2",0,8,"12.5"
"2020.09.10","00:00","23.59","Arnulf",2093,109,2202,"12.9","23.8",0,81,"9.4"
"2020.09.11","00:00","23.59","Arnulf",1872,116,1988,"13.2","23.6",0,55,"8.2"
"2020.09.12","00:00","23.59","Arnulf",1473,63,1536,"12.3",26,0,8,"11.8"
"2020.09.13","00:00","23.59","Arnulf",1125,65,1190,13,"26.8",0,34,"11.5"
"2020.09.14","00:00","23.59","Arnulf",2012,148,2160,13,27,0,43,12
"2020.09.15","00:00","23.59","Arnulf",2154,137,2291,"13.5","28.9",0,10,12
"2020.09.16","00:00","23.59","Arnulf",2134,123,2257,16,"27.2",0,48,"10.3"
"2020.09.17","00:00","23.59","Arnulf",1950,136,2086,"14.3","24.7",0,39,"8.6"
"2020.09.18","00:00","23.59","Arnulf",1736,122,1858,10,"20.4",0,29,"7.4"
"2020.09.19","00:00","23.59","Arnulf",1358,64,1422,"7.1","22.7",0,4,"11.3"
"2020.09.20","00:00","23.59","Arnulf",1103,52,1155,"9.7","23.2",0,31,"11.4"
"2020.09.21","00:00","23.59","Arnulf",1948,127,2075,"10.9",24,0,11,11
"2020.09.22","00:00","23.59","Arnulf",1717,113,1830,"12.5","25.6","6.3",51,"8.6"
"2020.09.23","00:00","23.59","Arnulf",1175,93,1268,"14.1","20.2","3.1",85,"1.1"
"2020.09.24","00:00","23.59","Arnulf",1521,119,1640,"13.4","21.6","10.2",98,"4.6"
"2020.09.25","00:00","23.59","Arnulf",544,51,595,"5.5","13.7",27,94,0
"2020.09.26","00:00","23.59","Arnulf",305,14,319,"6.3","7.7","2.7",98,0
"2020.09.27","00:00","23.59","Arnulf",657,58,715,5,"15.6",0,30,"11.4"
"2020.09.28","00:00","23.59","Arnulf",1105,110,1215,"4.9","10.7","0.5",96,0
