"DateTime","2020 7-day moving average","2020 Number of flights","2019 7-day moving average","2019 Number of flights","2018 7-day moving average","2018 Number of flights"
"2020-01-01",108395,97332,102167,92417,12489,87428
"2020-01-02",109083,113603,103033,108056,26929,101076
"2020-01-03",109020,117059,103196,111162,41611,102776
"2020-01-04",108889,108566,103128,110640,55607,97974
"2020-01-05",109028,110585,102787,101581,70116,101559
"2020-01-06",109401,114634,103037,103271,83444,93296
"2020-01-07",110699,113120,105061,108303,97165,96046
"2020-01-08",112784,111921,106999,105980,99031,100495
"2020-01-09",113028,115315,106891,107304,99013,100951
"2020-01-10",113094,117523,106436,107977,98823,101445
"2020-01-11",112128,101804,106176,108821,99479,102561
"2020-01-12",111337,105043,105396,96122,99667,102877
"2020-01-13",111079,112827,104549,97340,99254,90408
"2020-01-14",110793,111118,104209,105921,98608,91523
"2020-01-15",111014,113468,104024,104686,98432,99261
"2020-01-16",111126,116101,103896,106409,98116,98738
"2020-01-17",111218,118166,104050,109056,97769,99020
"2020-01-18",111329,102580,104458,111675,97738,102342
"2020-01-19",111249,104487,104300,95019,98087,105317
"2020-01-20",111451,114237,103992,95178,98232,91428
"2020-01-21",111866,114029,103909,105342,98381,92565
"2020-01-22",111905,113739,104033,105554,98381,99257
"2020-01-23",111988,116682,103952,105845,98478,99417
"2020-01-24",111692,116092,103973,109199,98799,101268
"2020-01-25",111474,101054,104119,112697,98844,102661
"2020-01-26",111437,104232,104612,98473,98687,104214
"2020-01-27",111052,111541,105182,99170,98390,89349
"2020-01-28",110365,109218,105050,104414,98377,92477
"2020-01-29",109742,109380,105035,105449,98597,100797
"2020-01-30",109033,111720,105084,106189,98907,101585
"2020-01-31",108538,112625,105011,108685,99063,102360
"2020-02-01",107920,96729,104960,112340,99449,105365
"2020-02-02",106937,97348,105079,99308,99862,107103
"2020-02-03",106023,105145,104914,98014,100323,92578
"2020-02-04",105043,102355,104895,104285,100250,91968
"2020-02-05",104168,103257,104867,105253,100402,101861
"2020-02-06",103129,104450,105042,107413,100490,102196
"2020-02-07",102282,106693,105114,109191,100352,101394
"2020-02-08",102029,94955,105055,111924,100530,106611
"2020-02-09",101403,92966,104956,98617,100303,105513
"2020-02-10",100733,100456,105190,99653,100574,94475
"2020-02-11",100466,100490,105622,107305,100934,94492
"2020-02-12",100332,102317,105488,104319,101040,102601
"2020-02-13",100395,104892,105297,106070,101170,103110
"2020-02-14",100782,109400,105724,112182,101586,104305
"2020-02-15",100772,94885,106192,115200,101322,104759
"2020-02-16",100926,94042,106544,101085,101740,108441
"2020-02-17",101059,101389,106606,100082,101936,95844
"2020-02-18",101298,102167,106757,108364,102149,95989
"2020-02-19",101705,105160,107260,107843,102172,102757
"2020-02-20",101882,106132,107225,105819,102283,103888
"2020-02-21",101872,109334,107084,111195,102529,106030
"2020-02-22",102030,95989,106857,113617,102824,106819
"2020-02-23",102449,96973,106751,100342,102815,108380
"2020-02-24",102687,103057,106964,101570,102856,96133
"2020-02-25",102799,102950,107007,108668,103042,97292
"2020-02-26",102774,104989,107356,110283,103247,104192
"2020-02-27",102910,107084,108085,110924,103289,104183
"2020-02-28",102967,109732,108302,112716,102980,103867
"2020-02-29",102957,95917
"2020-03-01",103397,100050,108395,114268,102656,104548
"2020-03-02",103761,105611,108441,100658,101760,102109
"2020-03-03",104001,104630,108405,101318,101446,93936
"2020-03-04",104064,105430,108250,107588,101497,97649
"2020-03-05",104161,107758,108180,109792,101408,103567
"2020-03-06",104086,109212,108245,111380,101494,104783
"2020-03-07",103987,95221,108247,112731,101467,103681
"2020-03-08",103818,98866,108199,113926,101765,106630
"2020-03-09",103299,101977,108183,100547,102809,109420
"2020-03-10",102651,100099,108574,104057,103228,96866
"2020-03-11",102116,101682,109198,111957,103585,100148
"2020-03-12",101297,102027,109203,109823,103807,105121
"2020-03-13",100363,102669,108891,109202,103702,104052
"2020-03-14",99517,89302,108651,111048,104129,106666
"2020-03-15",98288,90265,108772,114771,104453,108901
"2020-03-16",96839,91831,108940,101724,104420,109186
"2020-03-17",94822,85979,108935,104023,104379,96582
"2020-03-18",91911,81309,108873,111521,104105,98230
"2020-03-19",88365,77201,108996,110687,104140,105368
"2020-03-20",84416,75025,109463,112473,104239,104743
"2020-03-21",80479,61749,109829,113606,103639,102469
"2020-03-22",75708,56862,109827,114760,103275,106353
"2020-03-23",70288,53897,109705,100867,103463,110499
"2020-03-24",65538,52726,109705,104022,103565,97299
"2020-03-25",60743,47745,109044,106895,104007,101321
"2020-03-26",56296,46069,108515,106983,104412,108204
"2020-03-27",51832,43778,108412,111753,104988,108773
"2020-03-28",48224,36491,108493,114175,106051,109911
"2020-03-29",45042,34594,108443,114410,106860,112019
"2020-03-30",42447,35726,108436,100820,106416,107386
"2020-03-31",40332,37925,108604,105193,106404,97220
"2020-04-01",38848,37353,109471,112963,105946,98114
"2020-04-02",37193,34487,110391,113425,105613,105870
"2020-04-03",35892,34674,110874,115133,105568,108458
"2020-04-04",34566,27209,111207,116507,105403,108758
"2020-04-05",33449,26774,111453,116133,105358,111704
"2020-04-06",32699,30477,111649,102193,105762,110210
"2020-04-07",31885,32221,111645,105165,106087,99499
"2020-04-08",31214,32659,111657,113047,106622,101857
"2020-04-09",30816,31703,111711,113803,107110,109284
"2020-04-10",30167,30129,110815,108860,106959,107401
"2020-04-11",29849,24980,107306,91942,107131,109967
"2020-04-12",29442,23926,107548,117830,107123,111645
"2020-04-13",28798,25969,107926,104835,107268,111229
"2020-04-14",28502,30154,107889,104909,107034,97857
"2020-04-15",28232,30764,108035,114066,106632,99046
"2020-04-16",28028,30275,108405,116393,106430,107870
"2020-04-17",28053,30305,109615,117336,106692,109231
"2020-04-18",27969,24392,113411,118513,106633,109553
"2020-04-19",27986,24047,112605,112184,106555,111102
"2020-04-20",28086,26669,112414,103500,106736,112499
"2020-04-21",27984,29439,112364,104560,106856,98691
"2020-04-22",27997,30858,112311,113692,107189,101383
"2020-04-23",28064,30743,112427,117207,107265,108398
"2020-04-24",28152,30917,112403,117165,107160,108498
"2020-04-25",28181,24596,112508,119253,107071,108930
"2020-04-26",28181,24049,113320,117867,106759,108919
"2020-04-27",28294,27462,113672,105963,106874,113304
"2020-04-28",28500,30877,114231,108475,107191,100911
"2020-04-29",28702,32273,114498,115562,107156,101133
"2020-04-30",29097,33506,114268,115592,106947,106937
"2020-05-01",29190,31567,114037,115547,107019,109005
"2020-05-02",29212,24754,113797,117574,107349,111237
"2020-05-03",29327,24856,114062,119724,107846,112398
"2020-05-04",29658,29773,114211,107007,107915,113788
"2020-05-05",30094,33930,114290,109025,107830,100317
"2020-05-06",30359,34128,114318,115760,108092,102967
"2020-05-07",30559,34907,114439,116436,108438,109359
"2020-05-08",30980,34515,114463,115720,108533,109670
"2020-05-09",31436,27947,114343,116732,108596,111679
"2020-05-10",31878,27952,114322,119574,108493,111677
"2020-05-11",32198,32012,114083,105336,108281,112298
"2020-05-12",32274,34462,113675,106172,108217,99875
"2020-05-13",32543,36008,113632,115456,108186,102748
"2020-05-14",32783,36586,113685,116805,108201,109460
"2020-05-15",33116,36851,114107,118677,108166,109426
"2020-05-16",33387,29843,114573,119993,108067,110990
"2020-05-17",33638,29710,114698,120449,108234,112842
"2020-05-18",33839,33413,114811,106126,108502,114178
"2020-05-19",34085,36189,115121,108343,108558,100264
"2020-05-20",34499,38902,115251,116367,108363,101381
"2020-05-21",34755,38377,115216,116559,108273,108830
"2020-05-22",35046,38891,115369,119751,108262,109355
"2020-05-23",35221,31071,115480,120769,108384,111844
"2020-05-24",35255,29946,115797,122664,108493,113602
