bundesland,bundesland_ab,einwohner
Baden-Württemberg,DE-BW,111.00394
Bayern,DE-BY,131.24737
Berlin,DE-BE,36.69491
Brandenburg,DE-BB,25.21893
Bremen,DE-HB,6.81202
Hamburg,DE-HH,18.47253
Hessen,DE-HE,62.8808
Mecklenburg-Vorpommern,DE-MV,16.08138
Niedersachsen,DE-NI,79.93608
Nordrhein-Westfalen,DE-NW,179.47221
Rheinland-Pfalz,DE-RP,40.93903
Saarland,DE-SL,9.86887
Sachsen,DE-SN,40.71971
Sachsen-Anhalt,DE-ST,21.94782
Schleswig-Holstein,DE-SH,29.03773
Thüringen,DE-TH,21.33378
Germany,DE-all,831.66711
